Client Order ID,Instrument,Side,Quantity,Price
aa22,Orchid,Sell,110,62.3
aa16,Tulip,Sell,50,18.6
aa5,Orchid,Buy,50,65.8
aa8,Lotus,Sell,90,38.2
aa10,Orchid,Sell,100,70.5
aa20,Lotus,Buy,90,40.1
aa28,Rose,Sell,170,53.5
aa27,Orchid,Sell,160,68.2
aa32,Orchid,Buy,210,65.8
aa14,Lavender,Buy,30,28.75
aa7,Lavender,Buy,70,28.75
aa30,Lotus,Sell,190,36.4
aa13,Rose,Sell,20,55
aa6,Rose,Sell,60,55
aa9,Tulip,Buy,90,20.9
aa25,Lotus,Sell,140,36.4
aa31,Tulip,Buy,200,22.75
aa29,Lavender,Buy,180,26.9
aa18,Rose,Sell,70,55
aa12,Lotus,Sell,130,40.1
aa11,Rose,Buy,110,48.75
aa2,Lavender,Sell,30,30.5
aa17,Orchid,Buy,60,65.8
aa4,Tulip,Sell,40,18.6
aa3,Lotus,Buy,40,42.75
aa1,Rose,Buy,20,50.25
aa21,Tulip,Sell,100,16.8
aa26,Tulip,Buy,150,22.75
aa24,Lavender,Sell,130,33.25
aa19,Lavender,Sell,80,33.25
aa15,Lotus,Buy,40,42.75
aa23,Rose,Buy,120,48.75
aa31,Tulip,Sell,200,18.6
aa16,Tulip,Buy,50,20.9
aa3,Orchid,Buy,50,65.8
aa27,Orchid,Buy,160,62.3
aa8,Lotus,Sell,90,38.2
aa30,Lotus,Buy,190,42.75
aa5,Rose,Sell,60,55
aa26,Orchid,Sell,160,68.2
aa14,Lavender,Sell,80,33.25
aa10,Lotus,Sell,100,70.5
aa22,Tulip,Buy,110,20.9
aa9,Tulip,Buy,90,20.9
aa4,Rose,Buy,40,50.25
aa1,Rose,Sell,20,55
aa23,Rose,Sell,120,53.5
aa2,Lavender,Buy,30,28.75
aa18,Rose,Buy,70,48.75
aa28,Lavender,Sell,170,30.5
aa11,Lavender,Sell,95,33.25
aa21,Tulip,Buy,100,20.9
aa7,Tulip,Sell,70,18.6
aa29,Lavender,Sell,180,30.5
aa15,Orchid,Sell,60,70.5
aa12,Lotus,Buy,55,40.1
aa13,Rose,Buy,10,50.25
aa19,Tulip,Buy,60,22.75
aa25,Rose,Sell,160,53.5
aa17,Lavender,Sell,170,30.5
aa6,Rose,Sell,60,55
aa24,Tulip,Sell,140,16.8
aa31,Orchid,Sell,210,68.2
aa3,Lotus,Sell,140,36.4
aa20,Lotus,Sell,90,38.2
aa9,Lavender,Buy,70,28.75
aa27,Rose,Buy,160,48.75
aa32,Orchid,Buy,210,65.8
aa30,Lotus,Sell,190,36.4
aa5,Lavender,Sell,90,30.5
aa26,Lotus,Buy,150,42.75
aa4,Orchid,Buy,40,65.8
aa8,Tulip,Sell,120,18.6
aa16,Orchid,Buy,60,62.3
aa10,Lotus,Sell,100,70.5
aa22,Rose,Sell,110,53.5
aa14,Lavender,Sell,30,30.5
aa7,Orchid,Sell,60,70.5
aa30,Lavender,Buy,180,26.9
aa13,Rose,Buy,20,50.25
aa6,Orchid,Sell,60,68.2
aa9,Lotus,Buy,90,40.1
aa28,Tulip,Buy,170,22.75
aa3,Tulip,Sell,150,16.8
aa25,Lavender,Sell,140,33.25
aa31,Rose,Buy,200,48.75
aa19,Lotus,Buy,90,40.1
aa15,Tulip,Sell,200,18.6
aa23,Lavender,Buy,120,26.9
aa11,Tulip,Buy,110,20.9
aa2,Rose,Sell,30,55
aa17,Lavender,Buy,170,28.75
aa4,Orchid,Sell,40,68.2
aa27,Lavender,Sell,160,30.5
aa8,Rose,Buy,80,50.25
aa21,Lotus,Buy,100,42.75
aa16,Tulip,Sell,140,16.8
aa32,Tulip,Buy,210,20.9
aa26,Orchid,Buy,160,62.3
aa24,Orchid,Sell,130,68.2
aa12,Lotus,Buy,130,40.1
aa29,Rose,Buy,180,48.75
aa28,Lavender,Buy,170,26.9
aa22,Orchid,Sell,110,62.3
aa10,Lotus,Sell,100,70.5
aa6,Rose,Buy,60,48.75
aa14,Orchid,Sell,40,70.5
aa30,Tulip,Buy,190,22.75
aa5,Lavender,Sell,90,33.25
aa18,Rose,Sell,70,53.5
aa2,Tulip,Buy,30,20.9
aa23,Orchid,Buy,120,65.8
aa27,Rose,Sell,160,53.5
aa15,Lotus,Sell,40,36.4
aa9,Tulip,Sell,70,18.6
aa31,Tulip,Buy,200,22.75
aa26,Tulip,Sell,150,16.8
aa19,Lotus,Buy,90,40.1
aa13,Lavender,Buy,10,28.75
aa25,Rose,Sell,140,53.5
aa11,Tulip,Buy,110,22.75
aa7,Rose,Sell,60,55
aa3,Orchid,Sell,160,68.2
aa20,Orchid,Buy,200,65.8
aa16,Lavender,Sell,140,33.25
aa12,Lotus,Buy,55,40.1
aa30,Tulip,Sell,200,18.6
aa14,Lavender,Sell,80,33.25
aa10,Lotus,Buy,100,42.75
aa22,Tulip,Sell,110,18.6
aa9,Tulip,Sell,70,18.6
aa4,Rose,Sell,40,55
aa1,Lavender,Sell,20,30.5
aa23,Rose,Buy,120,48.75
aa18,Lotus,Sell,80,38.2
aa28,Lavender,Sell,170,53.5
aa11,Lavender,Sell,95,30.5
aa21,Tulip,Sell,100,16.8
aa7,Tulip,Buy,70,18.6
aa29,Lavender,Sell,180,30.5
aa15,Orchid,Sell,60,70.5
aa12,Lotus,Buy,55,40.1
aa13,Rose,Buy,10,50.25
aa19,Tulip,Buy,60,22.75
aa25,Rose,Sell,160,53.5
aa17,Lavender,Sell,170,30.5
aa6,Rose,Sell,60,55
aa24,Tulip,Sell,140,16.8
aa31,Orchid,Sell,210,68.2
aa3,Lotus,Sell,140,36.4
aa20,Lotus,Sell,90,38.2
